BinBase name,GC1,GC2,GC3,GC4,GC13,GC14,GC15,GC16,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC17,GC18,GC19,GC20,GC21,GC22,GC23,GC24
capric acid,582,204,518,714,266,652,288,551,427,378,533,255,389,313,355,318,332,506,337,327,890,441,427,274
butyrolactam NIST,166,111,185,249,93,118,150,109,626,975,617,276,299,388,196,367,416,267,452,418,340,375,296,294
beta-gentiobiose,78,44,90,120,64,70,99,71,305,550,218,206,248,271,168,140,155,176,269,308,138,181,158,218
benzoic acid,2961,3079,5269,6435,2349,3692,4208,4026,4010,5019,4627,4179,6068,5249,3557,3594,4210,4870,3955,4285,7211,7008,3831,4376
arachidic acid,602,348,779,815,621,652,823,572,633,456,506,495,634,472,728,636,883,598,500,476,866,706,642,583
adipic acid,235,172,294,333,145,221,332,132,243,238,144,281,238,317,290,173,381,343,171,203,274,360,292,321
6-deoxyglucose,87,83,135,149,40,132,147,91,5071,8336,3440,2469,2432,2450,1799,1977,2783,2891,5228,5698,1707,1852,2728,2690
4-aminobutyric acid,29,58,112,86,67,64,75,63,912,802,537,808,616,840,661,698,656,454,196,489,728,395,611,586
3-hydroxypropionic acid,171,207,315,294,150,178,212,237,1059,1855,1367,773,807,697,680,626,474,500,918,1029,579,611,812,726
3-6-anhydro-D-hexose,46,54,146,134,24,93,98,77,818,604,381,406,567,521,302,269,255,224,432,452,574,614,443,499
3-6-anhydro-D-glucose,114,52,56,350,42,48,178,200,3843,3498,1641,1834,953,947,1397,1320,1104,1220,488,458,767,859,992,951
3-6-anhydro-D-galactose,230,106,315,538,165,154,424,232,11183,12622,3518,3898,4992,5211,4459,4705,2965,3391,3968,4180,5383,5502,4163,4400
2-ketoadipic acid,211,88,441,510,133,156,301,364,335,574,505,310,494,491,353,374,227,269,317,464,494,604,371,346
1-methylgalactose NIST,827,951,1787,488,672,1187,332,475,19953,22706,15704,14936,16263,14671,10774,9571,9438,11105,24605,26777,13784,14732,20151,18359
1-kestose,51,56,125,109,68,43,120,36,196,232,177,127,181,177,107,139,176,141,138,182,205,196,173,246
1-deoxyerythritol,103,95,99,135,72,128,141,70,690,853,403,336,424,421,254,231,257,332,388,436,267,297,247,271
124849,605,643,4362,4265,229,498,2959,3896,1377,4251,6134,2867,3981,4132,586,1055,742,604,2300,3698,3798,5036,1442,1327
124846,1330,2502,14116,13603,1947,2678,10255,9851,1572,650,1375,2371,3048,3199,2330,2400,3042,3583,1322,1370,10816,9131,3543,2956
124845,51,39,104,104,62,37,87,79,3274,5436,3869,3049,2486,2472,2313,2292,904,919,4280,4806,832,1001,3163,3181
124844,9273,4950,9553,8624,5714,7146,6092,6388,12380,9689,5884,4714,4594,4618,6090,6405,8256,8619,5828,5224,4075,4307,6146,6153
124843,971,3125,4891,3891,644,1032,3299,1545,5940,5164,1424,3608,1482,2525,3084,3730,5398,4750,1698,1520,2383,4620,3870,2624
124842,83,106,93,117,55,171,63,41,8880,9161,6997,7444,7673,7688,6200,5502,1506,1678,8081,8274,4061,4392,8211,7667
124497,60,40,190,104,56,172,67,34,405,539,208,240,232,250,261,68,172,305,106,219,158,177,197,206
124293,3153,2593,5159,5472,2503,3550,3917,3257,3521,3008,2836,3391,3564,3595,3625,3297,4221,4344,2865,2672,4999,4733,3530,3320
124283,11902,8357,16640,10954,9993,12365,12747,10750,4537,9012,5144,7818,11102,11107,12631,4764,10976,9944,8828,7020,16650,4127,11509,10559
124110,201,202,116,103,153,233,66,65,1487,2121,1426,1240,691,1014,558,640,537,498,1578,1317,447,606,584,638
122191,343,329,303,451,245,257,188,244,430,232,248,360,312,290,283,283,404,338,84,245,531,366,228,254
121002,928,1218,2413,1976,719,1232,1148,795,1982,1244,695,1915,1091,1172,1944,1539,1152,1080,1010,1008,2621,500,1218,994
120765,645,561,1144,1428,507,966,749,578,975,590,621,817,788,941,1056,904,808,891,832,670,1338,874,502,869
117141,7448,8357,4425,13339,7027,8944,9185,10576,9544,8975,8769,9446,11102,7741,9107,5022,13599,9192,8687,8040,10755,12267,11509,12269
